Episode,Reward,Round,Accuracy
0,-3.910317583125522,50,0.9804
1,-3.871640698752672,50,0.9858
2,-3.8004164094058686,50,0.9845
3,-3.796698963476829,50,0.9734
4,-3.6309615729499325,50,0.9768
5,-3.554337496447738,50,0.9757
6,-3.2411275925464604,50,0.9778
7,-3.9424725765619977,50,0.9788
8,-3.8800622014723496,50,0.9842
9,-3.5066460467343528,50,0.9772
10,-4.299646666207046,50,0.9833
11,-4.13598563936371,50,0.9762
12,-3.3308884930472256,50,0.985
13,-3.4464983103248628,50,0.9811
14,-3.8886685200454063,50,0.9816
15,-3.349444995786615,50,0.9833
16,-3.4443298002528357,50,0.9848
17,-3.7619040229068643,50,0.9771
18,-3.9701451731808395,50,0.983
19,-3.5111331470124556,50,0.9801
20,-3.5098989639119167,50,0.976
21,-3.9834711979503443,50,0.9811
22,-3.542603492591984,50,0.9765
23,-3.467734093733685,50,0.9818
24,-3.468643431255326,50,0.9826
25,-3.4042370223101863,50,0.9837
26,-3.688670967269551,50,0.9776
27,-3.6129421059771922,50,0.9748
28,-3.510614204038538,50,0.9826
29,-3.3414328878548196,50,0.9843
30,-3.5710462964835603,50,0.9766
31,-3.897486654326023,50,0.9832
32,-3.5874765729694786,50,0.9694
33,-3.405286708470335,50,0.9831
34,-3.3374703864620567,50,0.9807
35,-3.2706155861234283,50,0.9789
36,-3.7439561327699797,50,0.9742
37,-3.3833313809695023,50,0.984
38,-3.5520608609237465,50,0.9734
39,-3.42252839264369,50,0.9827
40,-3.306287372544073,50,0.9822
41,-3.5178938805897166,50,0.9725
42,-4.0737526492503235,50,0.983
43,-3.5479213658517668,50,0.9762
44,-3.8519635164377646,50,0.979
45,-2.931983202040861,50,0.9777
46,-3.61805983592155,50,0.9788
47,-3.400974256987864,50,0.9797
48,-3.946964411046766,50,0.9805
49,-3.7110135382043445,50,0.9837
50,-3.8601926521804657,50,0.9811
51,-3.6980259241260045,50,0.9788
52,-3.693676166499584,50,0.9821
53,-3.351050764042825,50,0.9761
54,-3.724633994568215,50,0.9787
55,-3.387038180456846,50,0.9837
56,-3.596447148386257,50,0.9768
57,-3.269059386257349,50,0.9819
58,-3.4603707173728355,50,0.9816
59,-3.6560901099807586,50,0.9848
60,-4.150394169863706,50,0.9737
61,-3.4901602846094955,50,0.9852
62,-3.844415973562876,50,0.9856
63,-3.7300451073975514,50,0.9839
64,-3.5963116900305367,50,0.9828
65,-3.5653631997799105,50,0.9794
66,-3.3809506353885297,50,0.9839
67,-3.2016769372683225,50,0.9828
68,-3.7475613010879663,50,0.9813
69,-3.714485061565915,50,0.9765
70,-3.674821958727054,50,0.9825
71,-3.7963960001421615,50,0.9797
72,-3.8703118405524264,50,0.9734
73,-3.852188464850043,50,0.9841
74,-3.7791653984325966,50,0.9792
75,-3.542291961937808,50,0.9754
76,-3.989085960133682,50,0.9759
77,-3.73446345716033,50,0.9824
78,-3.419373258387051,50,0.9817
79,-3.319950563893264,50,0.9849
80,-3.615933107163059,50,0.9786
81,-3.567576765782703,50,0.9826
82,-3.401997112679826,50,0.9812
83,-3.6909779568897623,50,0.9742
84,-3.322112099621379,50,0.9834
85,-3.6689008423673486,50,0.9793
86,-3.4580654866180547,50,0.9804
87,-3.409005723159887,50,0.9756
88,-3.4510612784796346,50,0.9795
89,-3.1475959013029557,50,0.9801
90,-3.3119788052362917,50,0.9819
91,-3.758163387732918,50,0.9856
92,-3.4178802706573586,50,0.9848
93,-3.376209958445609,50,0.9788
94,-3.29666815324594,50,0.9848
95,-3.7014016570174024,50,0.9844
96,-3.864738324404455,50,0.979
97,-3.657961827683305,50,0.9765
98,-3.398750226968279,50,0.9847
99,-3.8767715282426813,50,0.9811
100,-3.540338883290003,50,0.9816
101,-3.4844227619698493,50,0.9778
102,-3.389872628145513,50,0.9821
103,-3.53983624546757,50,0.9802
104,-3.304723031442934,50,0.9826
105,-3.5548953507699323,50,0.9787
106,-3.4833258646752143,50,0.9799
107,-3.4263378988308526,50,0.9826
108,-3.6125099190561456,50,0.9827
109,-3.2461036018095175,50,0.9847
110,-3.6909563642655447,50,0.9814
111,-3.9726322301541335,50,0.9836
112,-3.2789886143939935,50,0.983
113,-3.447084398024332,50,0.9764
114,-3.4203567984643897,50,0.9839
115,-4.092831172244107,50,0.9772
116,-3.530215938212981,50,0.9758
117,-3.4499527165486317,50,0.9786
118,-3.942611032791436,50,0.9778
119,-3.5476363055941595,50,0.9729
120,-3.518572461697233,50,0.9822
121,-3.409336837044453,50,0.984
122,-3.6927552477997847,50,0.9824
123,-3.605364121425362,50,0.9823
124,-3.39890108415691,50,0.9826
125,-3.4959568469597384,50,0.9752
126,-4.097679463599178,50,0.9804
127,-3.4202280178023914,50,0.9787
128,-3.6829941747691715,50,0.9837
129,-3.6434964084164387,50,0.9825
130,-3.564071806687097,50,0.9833
131,-3.1760696819063834,50,0.9844
132,-3.248107560999242,50,0.9802
133,-3.5679516505288773,50,0.9827
134,-3.7710193264509817,50,0.9833
135,-3.5277277291957185,50,0.9859
136,-3.8687064286930513,50,0.9768
137,-3.3400568630262137,50,0.9836
138,-3.3292602843255827,50,0.9859
139,-3.42688901868581,50,0.9781
140,-3.942596992863709,50,0.9841
141,-3.538740926798911,50,0.9753
142,-3.5219314316101316,50,0.9807
143,-3.7950907314532425,50,0.9768
144,-3.495407365445854,50,0.9785
145,-3.186390604504166,50,0.978
146,-4.208707582378212,50,0.9827
147,-3.4732780791923075,50,0.985
148,-3.745588211787353,50,0.98
149,-3.7397164931384,50,0.9758
150,-3.650114208373517,50,0.9722
151,-3.942423416157988,50,0.9787
152,-3.148765107111387,50,0.9843
153,-3.5430425652445665,50,0.9747
154,-3.6514436410740077,50,0.9819
155,-3.6510298017066094,50,0.9831
156,-3.603245710161045,50,0.9777
157,-3.411180430899377,50,0.9803
158,-3.56444220247797,50,0.9821
159,-3.3756761477077153,50,0.9852
160,-3.6829302551070056,50,0.9791
