round,accuracy
1,76.2600
2,89.7700
3,91.8900
4,93.5600
5,94.5900
6,95.1200
7,95.3800
8,96.1000
9,95.9000
10,96.5000
11,96.5600
12,96.8300
13,96.8900
14,96.9800
15,97.0800
16,97.0700
17,97.2000
18,97.4200
19,97.4400
20,97.3400
21,97.5300
22,97.6400
23,97.6800
24,97.7300
25,97.5500
26,97.8100
27,97.8400
28,97.9800
29,98.0300
30,97.9100
31,97.8500
32,97.9600
33,98.1800
34,98.0400
35,98.0900
36,98.2200
37,98.1200
38,98.1800
39,98.2000
40,98.1200
41,98.2600
42,98.3000
43,98.2500
44,98.2600
45,98.2500
46,98.1900
47,98.2000
48,98.4000
49,98.3500
50,98.5500
51,98.4700
52,98.4200
53,98.5800
54,98.4200
55,98.4300
56,98.4800
57,98.4800
58,98.5500
59,98.4500
60,98.5800
61,98.4900
62,98.6000
63,98.5600
64,98.5000
65,98.5300
66,98.5000
67,98.5900
68,98.6200
69,98.6300
70,98.5800
71,98.5900
72,98.6700
73,98.7000
74,98.2100
75,98.5700
76,98.7100
77,98.5900
78,98.6200
79,98.6300
80,98.6100
81,98.5800
82,98.6000
83,98.5000
84,98.6600
85,98.5000
86,98.6600
87,98.7100
88,98.7200
89,98.6800
90,98.6800
91,98.7000
92,98.6200
93,98.6800
94,98.6000
95,98.5900
96,98.6800
97,98.7100
98,98.7400
99,98.7100
100,98.6900
101,98.7300
102,98.6800
103,98.6700
104,98.6800
105,98.5800
106,98.6400
107,98.5900
108,98.6800
109,98.6900
110,98.6800
111,98.6500
112,98.7300
113,98.7100
114,98.6900
115,98.6600
116,98.7000
117,98.7000
118,98.7200
119,98.7200
120,98.6300
121,98.6700
122,98.6500
123,98.6800
124,98.7100
125,98.6800
126,98.7000
127,98.7400
128,98.7500
129,98.7500
130,98.7500
131,98.8300
132,98.8600
133,98.7800
134,98.8200
135,98.8000
136,98.7700
137,98.8900
138,98.8900
139,98.7800
140,98.7500
141,98.8800
142,98.8000
143,98.7700
144,98.7700
145,98.8300
146,98.8000
147,98.7700
148,98.8200
149,98.8800
150,98.8400
151,98.8500
152,98.8600
153,98.8100
154,98.8500
155,98.8100
156,98.8200
157,98.8100
158,98.8100
159,98.7100
160,98.7600
161,98.8100
162,98.8600
163,98.8900
164,98.8900
165,98.8300
166,98.8600
167,98.9900
168,98.8600
169,98.8900
170,98.8900
171,98.9100
172,98.8500
173,98.9200
174,98.9500
175,98.8900
176,98.8900
177,98.9000
178,98.8900
179,98.8700
180,98.8600
181,98.7800
182,98.8100
183,98.9100
184,98.8800
185,98.8900
186,98.8800
187,98.8500
188,98.9300
189,98.8800
190,98.8000
191,98.8000
192,98.8400
193,98.8800
194,98.8700
195,98.9000
196,98.8300
197,98.8300
198,98.9400
199,98.9100
200,98.8600
201,98.8600
202,98.9400
203,98.9100
204,98.8900
205,98.8300
206,98.8800
207,98.9400
208,98.9200
209,98.9000
210,98.8900
211,98.9700
212,98.8600
213,98.9300
214,98.9900
215,98.8800
216,98.9700
217,98.9300
218,98.9500
219,98.9200
220,98.9900
221,98.9600
222,98.9300
223,98.9300
224,98.9500
225,98.9800
226,98.9000
227,98.8600
228,98.9800
229,98.9700
230,98.9900
231,98.9600
232,98.9700
233,99.0100
