round,accuracy
1,88.7900
2,91.9200
3,93.6600
4,94.8200
5,95.2000
6,95.8700
7,96.3800
8,96.4400
9,96.6500
10,96.5700
11,96.9700
12,97.0900
13,97.2200
14,97.4200
15,97.4100
16,97.5200
17,97.5700
18,97.6500
19,97.6300
20,97.6300
21,97.8100
22,97.8300
23,97.8300
24,97.9700
25,98.0200
26,98.0700
27,98.0500
28,98.1400
29,98.0300
30,98.0300
31,98.2100
32,98.1400
33,98.3100
34,98.2400
35,98.2400
36,98.3100
37,98.3500
38,98.2900
39,98.4800
40,98.3900
41,98.4400
42,98.4700
43,98.4800
44,98.4500
45,98.3800
46,98.4800
47,98.5100
48,98.4200
49,98.4600
50,98.4200
51,98.4000
52,98.5100
53,98.5500
54,98.5300
55,98.5300
56,98.6100
57,98.5900
58,98.6100
59,98.5300
60,98.5300
61,98.5800
62,98.6000
63,98.5900
64,98.5900
65,98.5800
66,98.6600
67,98.6400
68,98.6400
69,98.6800
70,98.4700
71,98.6500
72,98.6600
73,98.6800
74,98.7200
75,98.6500
76,98.6900
77,98.7800
78,98.7000
79,98.7000
80,98.6700
81,98.7500
82,98.8100
83,98.7300
84,98.8000
85,98.7300
86,98.7600
87,98.7600
88,98.8200
89,98.8200
90,98.5400
91,98.7200
92,98.7600
93,98.8000
94,98.7600
95,98.7900
96,98.7900
97,98.7800
98,98.7400
99,98.7100
100,98.6200
101,98.8000
102,98.7900
103,98.7800
104,98.8100
105,98.8200
106,98.8300
107,98.7600
108,98.7400
109,98.7600
110,98.8000
111,98.8300
112,98.8800
113,98.8200
114,98.8700
115,98.7500
116,98.8200
117,98.8500
118,98.8400
119,98.8200
120,98.7900
121,98.8600
122,98.8900
123,98.8700
124,98.9100
125,98.8400
126,98.8200
127,98.8200
128,98.8000
129,98.8200
130,98.7900
131,98.8500
132,98.8100
133,98.9000
134,98.8600
135,98.9100
136,98.8600
137,98.8900
138,98.8600
139,98.8500
140,98.8100
141,98.9200
142,98.9400
143,98.9100
144,98.9400
145,98.9500
146,98.9600
147,98.8700
148,98.9100
149,98.8400
150,98.8500
151,98.9000
152,98.9400
153,98.9500
154,99.0000
