round,accuracy
1,87.3800
2,92.0600
3,93.8800
4,94.6400
5,94.9300
6,95.6100
7,95.7100
8,96.0900
9,96.2700
10,96.5700
11,96.8100
12,96.7700
13,96.8800
14,97.2000
15,97.1900
16,97.3500
17,97.3600
18,97.5200
19,97.5700
20,97.5400
21,97.6900
22,97.8300
23,97.7900
24,97.9000
25,97.8100
26,97.9600
27,98.0000
28,98.0500
29,98.0600
30,98.0900
31,98.0900
32,98.1600
33,98.1300
34,98.2000
35,98.2000
36,98.2700
37,98.3200
38,98.3200
39,98.2800
40,98.2300
41,98.3200
42,98.3900
43,98.4100
44,98.4400
45,98.3900
46,98.3900
47,98.4500
48,98.4800
49,98.3500
50,98.4700
51,98.3400
52,98.4100
53,98.5000
54,98.5500
55,98.5300
56,98.5300
57,98.5000
58,98.5200
59,98.4700
60,98.6100
61,98.6400
62,98.6100
63,98.5500
64,98.6400
65,98.6200
66,98.6400
67,98.6200
68,98.6600
69,98.5900
70,98.6400
71,98.6000
72,98.6700
73,98.6300
74,98.6400
75,98.6200
76,98.6600
77,98.6100
78,98.6600
79,98.6800
80,98.5600
81,98.6400
82,98.6900
83,98.7600
84,98.7200
85,98.6800
86,98.6600
87,98.6900
88,98.7300
89,98.7800
90,98.6400
91,98.7200
92,98.7600
93,98.7800
94,98.7700
95,98.8000
96,98.8300
97,98.8600
98,98.8600
99,98.8500
100,98.9200
101,98.8300
102,98.8500
103,98.9500
104,98.9000
105,98.8900
106,98.8900
107,98.8700
108,98.9000
109,98.8200
110,98.9000
111,98.8300
112,98.9200
113,98.9100
114,98.8300
115,98.8400
116,98.8600
117,98.8700
118,98.8500
119,98.8200
120,98.8100
121,98.8500
122,98.8600
123,98.7500
124,98.8100
125,98.8100
126,98.8400
127,98.8400
128,98.9000
129,98.8600
130,98.8200
131,98.8900
132,98.8400
133,98.8900
134,98.8400
135,98.9300
136,98.9200
137,98.9400
138,98.9400
139,98.9300
140,98.9500
141,98.9800
142,98.9700
143,98.9300
144,98.9300
145,98.9200
146,98.9600
147,99.0100
