Episode,Reward,Round,Accuracy
0,-10.108954303081331,50,0.9414
1,-9.431089914123243,50,0.9551
2,-9.8140327343515,50,0.9598
3,-9.44910177315592,50,0.971
4,-9.77753228470452,50,0.9707
5,-8.218959054824545,50,0.9724
6,-8.988803667867195,50,0.9629
7,-8.985061881111951,50,0.9637
8,-9.473706569843129,50,0.9516
9,-8.791586731098462,50,0.975
10,-9.846203768147472,50,0.9622
11,-9.021485640249868,50,0.9634
12,-9.507776991420094,50,0.9599
13,-9.063755741592496,50,0.9721
14,-9.717596260404452,50,0.9682
15,-9.822751879219867,50,0.9554
16,-8.76674447892841,50,0.951
17,-9.216349740902285,50,0.9629
18,-9.096237635962126,50,0.9701
19,-9.476486159305168,50,0.965
20,-9.627451032962366,50,0.9609
21,-8.938000710422788,50,0.9584
22,-9.120009667324616,50,0.9678
23,-9.303658024177391,50,0.9662
24,-8.630960688461887,50,0.9674
25,-8.642209518991093,50,0.9578
26,-9.437466116337118,50,0.9598
27,-9.50676971775174,50,0.972
28,-10.005819590979561,50,0.9678
29,-9.427061435762566,50,0.9509
30,-9.666384009039483,50,0.9716
31,-9.374789705859042,50,0.9564
32,-9.905911344869251,50,0.9698
33,-9.575224112969362,50,0.9685
34,-9.528178382060457,50,0.9595
35,-8.926572266173089,50,0.9645
36,-9.513298245640256,50,0.9671
37,-9.362976461316117,50,0.9371
38,-9.593992815182693,50,0.968
39,-9.95676738808601,50,0.9605
40,-8.697957704042173,50,0.9676
41,-9.134206939034076,50,0.9753
42,-9.760334440946263,50,0.9707
43,-9.255396850908987,50,0.9676
44,-9.014297173508558,50,0.9632
45,-9.571985883487594,50,0.9636
46,-9.251126832679933,50,0.9737
47,-9.050756406730182,50,0.9594
48,-9.584971161547537,50,0.9686
49,-9.496467249320728,50,0.9716
50,-9.687983578413863,50,0.9635
51,-9.58600723345265,50,0.9579
52,-9.432208456332981,50,0.9727
53,-9.635069548269499,50,0.9498
54,-9.287854800559867,50,0.9631
55,-10.173968086491119,50,0.971
56,-8.507693831625655,50,0.9734
57,-8.862817796538932,50,0.9633
58,-8.928799251275343,50,0.9617
59,-9.241704239667277,50,0.9632
60,-9.0319566989072,50,0.9571
61,-9.032715727064009,50,0.9666
62,-9.201161168946012,50,0.9647
63,-9.044825405146346,50,0.9693
64,-9.684405386257389,50,0.9432
65,-8.60457175693805,50,0.9721
66,-9.197620452388318,50,0.9569
67,-9.337107623769072,50,0.957
68,-9.884622280520821,50,0.9624
69,-9.467133754802878,50,0.9749
70,-9.7099121963685,50,0.9629
