round,accuracy
1,92.9000
2,95.1900
3,96.2600
4,96.8700
5,97.2700
6,97.4000
7,97.6900
8,97.7600
9,97.7400
10,97.8200
11,98.0100
12,98.1200
13,98.1600
14,98.1200
15,98.2100
16,98.2700
17,98.3600
18,98.4100
19,98.3400
20,98.3900
21,98.4300
22,98.5300
23,98.6300
24,98.6200
25,98.6600
26,98.5600
27,98.6500
28,98.6900
29,98.7000
30,98.7200
31,98.6800
32,98.7600
33,98.6700
34,98.6900
35,98.7200
36,98.7700
37,98.8300
38,98.8400
39,98.8400
40,98.8300
41,98.8600
42,98.8800
43,98.8100
44,98.8600
45,98.8700
46,98.8900
47,98.8700
48,98.9200
49,98.9300
50,98.8700
51,98.8700
52,98.8900
53,98.9500
54,98.9100
55,98.8800
56,98.9600
57,98.9000
58,98.8800
59,98.8900
60,98.8900
61,98.9100
62,98.9500
63,98.9500
64,99.0200
