round,accuracy
1,89.2700
2,95.6500
3,96.5500
4,96.8700
5,97.0900
6,97.1900
7,97.3000
8,97.3800
9,97.3500
10,97.4600
11,97.4500
12,97.4200
13,97.5400
14,97.5200
15,97.5300
16,97.4900
17,97.5400
18,97.5700
19,97.5900
20,97.5700
21,97.5800
22,97.5400
23,97.5800
24,97.6100
25,97.5200
26,97.4500
27,97.5800
28,97.4900
29,97.5600
30,97.6000
31,97.6300
32,97.5200
33,97.5600
34,97.5000
35,97.6000
36,97.5800
37,97.5500
38,97.5500
39,97.5300
40,97.5100
41,97.5700
42,97.5800
43,97.6100
44,97.5600
45,97.5200
46,97.5500
47,97.5100
48,97.4800
49,97.5500
50,97.5300
51,97.4900
52,97.4500
53,97.4700
54,97.4800
55,97.5500
56,97.5500
57,97.5500
58,97.5700
59,97.5600
60,97.5800
61,97.5700
62,97.5100
63,97.4700
64,97.4700
65,97.4400
66,97.4600
67,97.4900
68,97.4900
69,97.4300
70,97.4800
71,97.4800
72,97.5400
73,97.5900
74,97.5800
75,97.5500
76,97.5500
77,97.5400
78,97.5100
79,97.4900
80,97.5000
81,97.4900
82,97.4900
83,97.5100
84,97.4600
85,97.5700
86,97.4900
87,97.5400
88,97.5100
89,97.5000
90,97.4600
91,97.4900
92,97.5300
93,97.4800
94,97.4600
95,97.4600
96,97.4600
97,97.4700
98,97.4400
99,97.4500
100,97.4500
101,97.4400
102,97.4800
103,97.4500
104,97.4500
105,97.4400
106,97.4900
107,97.4700
108,97.4700
109,97.4600
110,97.4400
111,97.4600
112,97.4600
113,97.4500
114,97.4500
115,97.4500
116,97.4600
117,97.4700
118,97.4200
119,97.4300
120,97.4500
121,97.4500
122,97.4800
123,97.4700
124,97.4500
125,97.4200
126,97.4400
127,97.4700
128,97.4600
129,97.4300
130,97.4400
131,97.4900
132,97.4600
133,97.4300
134,97.4600
135,97.4500
136,97.4400
137,97.4300
138,97.4200
139,97.4300
140,97.4200
141,97.3900
142,97.3900
143,97.4200
144,97.4500
145,97.4200
146,97.4100
147,97.4100
148,97.4100
149,97.4200
150,97.4200
151,97.4300
152,97.4200
153,97.4100
154,97.4000
155,97.3900
156,97.4100
157,97.4200
158,97.4000
159,97.3900
160,97.4000
161,97.3900
162,97.4000
163,97.3900
164,97.3900
165,97.3900
166,97.4000
167,97.3900
168,97.3800
169,97.3900
170,97.4000
171,97.3800
172,97.3800
173,97.3900
174,97.3900
175,97.4000
176,97.3900
177,97.3900
178,97.3900
179,97.3900
180,97.3900
181,97.4000
182,97.4000
183,97.3900
184,97.3900
185,97.4100
186,97.3700
187,97.3800
188,97.3800
189,97.3800
190,97.3900
191,97.4000
192,97.3700
193,97.3800
194,97.3800
195,97.3800
196,97.3800
197,97.3700
198,97.3700
199,97.3800
200,97.3800
201,97.3800
202,97.3800
203,97.3800
204,97.4000
205,97.3800
206,97.3700
207,97.3700
208,97.3600
209,97.3800
210,97.3700
211,97.3700
212,97.3800
213,97.3900
214,97.3800
215,97.3700
216,97.3600
217,97.3700
218,97.3800
219,97.3800
220,97.3800
221,97.3700
222,97.3600
223,97.3500
224,97.3600
225,97.3700
226,97.3700
227,97.3500
228,97.3600
229,97.3300
230,97.3400
231,97.3400
232,97.3600
233,97.3400
234,97.3500
235,97.3500
236,97.3300
237,97.3200
238,97.3000
239,97.3100
240,97.2900
241,97.3000
242,97.3000
243,97.3200
244,97.3300
245,97.3200
246,97.2700
247,97.2900
248,97.3000
249,97.2700
250,97.2900
