round,accuracy
1,93.4700
2,96.6700
3,96.9300
4,97.2800
5,97.3400
6,97.4400
7,97.5500
8,97.4800
9,97.5100
10,97.5600
11,97.5700
12,97.5200
13,97.5700
14,97.5700
15,97.5700
16,97.4700
17,97.5800
18,97.6600
19,97.6500
20,97.6100
21,97.5700
22,97.6300
23,97.6400
24,97.5900
25,97.6800
26,97.5800
27,97.6500
28,97.6400
29,97.5600
30,97.6200
31,97.6100
32,97.5800
33,97.5700
34,97.6100
35,97.5900
36,97.5100
37,97.5700
38,97.6000
39,97.5800
40,97.5800
41,97.6600
42,97.6500
43,97.6100
44,97.7100
45,97.6500
46,97.6400
47,97.6400
48,97.6800
49,97.7100
50,97.6400
51,97.6800
52,97.7000
53,97.6900
54,97.6400
55,97.6200
56,97.6200
57,97.6400
58,97.6500
59,97.6500
60,97.6500
61,97.6500
62,97.6300
63,97.6300
64,97.6000
65,97.5800
66,97.6000
67,97.6100
68,97.5800
69,97.5500
70,97.6200
71,97.5900
72,97.5800
73,97.5900
74,97.6400
75,97.6200
76,97.6100
77,97.6000
78,97.6100
79,97.6000
80,97.6500
81,97.6500
82,97.6600
83,97.6400
84,97.6300
85,97.6400
86,97.6600
87,97.6200
88,97.6400
89,97.6500
90,97.6400
91,97.6200
92,97.5800
93,97.5800
94,97.5800
95,97.5700
96,97.5700
97,97.5800
98,97.6200
99,97.6200
100,97.5900
101,97.5300
102,97.5400
103,97.5400
104,97.5400
105,97.5600
106,97.5400
107,97.5700
108,97.5400
109,97.5400
110,97.5200
111,97.5300
112,97.5200
113,97.5500
114,97.5200
115,97.5000
116,97.5200
117,97.5200
118,97.5200
119,97.5400
120,97.5300
121,97.5300
122,97.5000
123,97.5100
124,97.4900
125,97.4800
126,97.4800
127,97.4800
128,97.4900
129,97.4900
130,97.5100
131,97.4800
132,97.5100
133,97.5200
134,97.5100
135,97.5100
136,97.5000
137,97.4900
138,97.4800
139,97.4800
140,97.4800
141,97.4900
142,97.4900
143,97.4800
144,97.4900
145,97.4900
146,97.4900
147,97.4900
148,97.4700
149,97.4700
150,97.4800
151,97.4800
152,97.5000
153,97.4800
154,97.4800
155,97.4800
156,97.4800
157,97.4800
158,97.4800
159,97.4800
160,97.4900
161,97.4900
162,97.4800
163,97.4900
164,97.4800
165,97.4900
166,97.4800
167,97.4800
168,97.4800
169,97.4600
170,97.4500
171,97.4600
172,97.4700
173,97.4700
174,97.4700
175,97.4700
176,97.4700
177,97.4700
178,97.4700
179,97.4700
180,97.4800
181,97.4800
182,97.4700
183,97.4700
184,97.4700
185,97.4700
186,97.4600
187,97.4600
188,97.4600
189,97.4600
190,97.4600
191,97.4600
192,97.4600
193,97.4600
194,97.4600
195,97.4600
196,97.4500
197,97.4500
198,97.4500
199,97.4600
200,97.4500
201,97.4500
202,97.4600
203,97.4600
204,97.4600
205,97.4600
206,97.4700
207,97.4400
208,97.4500
209,97.4600
210,97.4400
211,97.4300
212,97.4400
213,97.4400
214,97.4400
215,97.4400
216,97.4300
217,97.4300
218,97.4400
219,97.4400
220,97.4300
221,97.4300
222,97.4300
223,97.4300
224,97.4400
225,97.4400
226,97.4400
227,97.4200
228,97.4200
229,97.4100
230,97.4100
231,97.4200
232,97.4200
233,97.4200
234,97.4200
235,97.4200
236,97.4200
237,97.4200
238,97.4200
239,97.4200
240,97.4200
241,97.4200
242,97.4100
243,97.4100
244,97.4200
245,97.4200
246,97.4300
247,97.4300
248,97.4300
249,97.4300
250,97.4300
