round,accuracy
1,91.8600
2,96.3100
3,97.0900
4,97.5000
5,97.6000
6,98.0400
7,98.1500
8,98.1200
9,98.1700
10,98.0100
11,98.3200
12,98.4400
13,98.5600
14,98.4100
15,98.4300
16,98.4800
17,98.6200
18,98.3400
19,98.3700
20,98.6900
21,98.6100
22,98.6700
23,98.5800
24,98.6200
25,98.8000
26,98.7500
27,98.7900
28,98.6700
29,98.7400
30,98.7400
31,98.6900
32,98.7100
33,98.7600
34,98.6800
35,98.7900
36,98.8400
37,98.6500
38,98.7900
39,98.8700
40,98.9300
41,98.9100
42,98.7000
43,98.8100
44,98.8800
45,98.8400
46,98.8600
47,98.8600
48,98.7900
49,98.8600
50,98.8200
51,98.8500
52,98.8600
53,98.8100
54,98.8800
55,98.9600
56,98.9000
57,98.9300
58,98.7700
59,98.9200
60,98.9700
61,98.8400
62,98.9200
63,98.9500
64,98.9700
65,98.8400
66,98.8600
67,98.8400
68,98.9800
69,98.9200
70,98.8600
71,99.0100
