round,accuracy
1,80.7300
2,89.4200
3,91.5100
4,93.3300
5,93.5200
6,94.6800
7,95.0200
8,95.0100
9,95.3800
10,95.9300
11,96.0700
12,96.0500
13,95.9600
14,96.5100
15,96.5900
16,96.8500
17,96.5100
18,96.5500
19,96.3700
20,96.9400
21,97.0000
22,96.9500
23,97.0100
24,97.1500
25,96.8300
26,97.3000
27,97.3200
28,97.2200
29,97.1300
30,97.3100
31,97.4800
32,97.1000
33,97.3700
34,97.5400
35,97.3800
36,97.6100
37,97.5800
38,97.4300
39,97.5300
40,97.5000
41,97.4000
42,97.4700
43,97.3100
44,97.6500
45,97.7000
46,97.6600
47,97.7500
48,97.6100
49,97.6700
50,97.6900
51,97.9200
52,97.6300
53,97.3700
54,97.7600
55,97.7400
56,97.8600
57,97.8000
58,97.7600
59,97.6500
60,97.8600
61,97.9900
62,97.9000
63,97.8600
64,97.7600
65,98.0400
66,97.9800
67,97.9600
68,97.9600
69,98.0100
70,97.6500
71,97.9600
72,97.9100
73,97.7800
74,97.7900
75,98.0600
76,97.9700
77,97.9100
78,97.9900
79,98.0800
80,98.0400
81,98.1500
82,97.8900
83,97.9100
84,98.0400
85,98.0200
86,97.9700
87,97.9800
88,98.0800
89,98.0300
90,97.9800
91,97.9400
92,98.0300
93,97.9700
94,97.8000
95,98.0400
96,97.9100
97,98.1500
98,97.9700
99,97.9000
100,97.6600
101,97.9900
102,97.8700
103,98.1000
104,98.1900
105,98.0100
106,98.1800
107,98.0700
108,98.1500
109,97.8500
110,98.1200
111,98.1500
112,98.0700
113,98.0800
114,98.1600
115,98.1300
116,98.1600
117,97.9700
118,98.0400
119,98.0500
120,97.9600
121,98.1700
122,98.0200
123,98.0700
124,98.1400
125,98.0700
126,98.1000
127,98.0800
128,98.1200
129,98.1600
130,98.1200
131,98.2000
132,98.3000
133,98.2000
134,98.0600
135,98.1700
136,98.0700
137,98.1700
138,98.1600
139,98.1700
140,98.0500
141,98.1700
142,98.1100
143,98.1300
144,98.2200
145,98.0500
146,98.1400
147,98.2400
148,98.1100
149,98.1500
150,98.0600
151,98.1700
152,98.1600
153,98.2200
154,98.2200
155,98.0900
156,98.2300
157,98.1600
158,97.9700
159,98.2000
160,98.1400
161,98.2000
162,98.3200
163,98.2200
164,98.2600
165,98.1200
166,98.2700
167,98.2200
168,98.1900
169,98.1100
170,98.0800
171,98.0100
172,98.1900
173,98.2900
174,98.2700
175,98.2200
176,98.1700
177,98.0600
178,98.1800
179,98.2500
180,98.2100
181,98.2300
182,98.2200
183,98.1800
184,98.1500
185,98.2700
186,98.2700
187,98.2400
188,98.2800
189,98.2200
190,98.0100
191,98.0400
192,98.1900
193,98.1700
194,98.1200
195,98.1500
196,98.1700
197,98.1300
198,98.1000
199,98.2000
200,98.2000
201,98.1200
202,98.1500
203,98.2800
204,98.2300
205,98.2500
206,98.2800
207,98.1900
208,98.2700
209,98.2000
210,98.1500
211,98.0800
212,98.2700
213,98.1400
214,98.2200
215,98.0800
216,98.0700
217,98.1500
218,98.1300
219,98.2300
220,98.1700
221,98.1300
222,98.0600
223,98.0800
224,98.1300
225,98.1200
226,98.1900
227,98.0800
228,98.1700
229,98.2300
230,98.1400
231,98.1900
232,98.1500
233,98.0800
234,98.2100
235,98.0900
236,98.2100
237,98.0900
238,98.2900
239,98.2200
240,98.1000
241,98.1600
242,98.1100
243,98.2600
244,98.2400
245,98.2300
246,98.2100
247,98.2800
248,98.2300
249,98.2500
250,98.1400
