round,accuracy
1,77.2600
2,89.0300
3,90.9600
4,93.5800
5,94.1100
6,94.3400
7,93.9300
8,94.1400
9,95.1700
10,95.1900
11,94.7400
12,95.4000
13,95.8600
14,96.1100
15,96.1000
16,96.4800
17,96.1400
18,96.2900
19,96.5700
20,96.2200
21,96.7700
22,96.5900
23,97.0400
24,96.6900
25,96.7200
26,97.0300
27,96.5500
28,96.9300
29,97.0200
30,97.1400
31,97.2100
32,96.6500
33,97.2400
34,97.0900
35,96.6200
36,97.2300
37,97.0600
38,97.4400
39,96.9100
40,97.1900
41,97.5100
42,97.1100
43,97.1500
44,97.1900
45,97.1400
46,97.0400
47,97.2000
48,97.2700
49,97.5000
50,97.4400
51,96.9900
52,97.4200
53,97.5000
54,97.3100
55,97.5700
56,97.1100
57,97.2700
58,97.5400
59,97.2100
60,97.4000
61,97.4400
62,97.2500
63,97.5200
64,97.4000
65,97.5200
66,97.6400
67,97.4600
68,97.6700
69,97.7400
70,97.5700
71,97.6600
72,97.6000
73,97.5600
74,97.5400
75,97.7300
76,97.3900
77,97.7100
78,97.4700
79,97.6100
80,97.6400
81,97.6800
82,97.7600
83,97.8800
84,97.7800
85,97.9100
86,97.9500
87,97.6700
88,97.8700
89,97.7400
90,97.7300
91,97.5500
92,97.7600
93,97.8200
94,97.8100
95,97.7000
96,97.7800
97,97.8700
98,97.9300
99,97.8300
100,97.8500
101,97.7700
102,97.8100
103,97.9100
104,97.9600
105,97.6500
106,97.8800
107,97.9600
108,97.8300
109,97.7600
110,97.7500
111,97.9700
112,97.9100
113,97.8300
114,97.6400
115,97.8600
116,97.7000
117,97.8500
118,97.8100
119,97.8600
120,97.8100
121,97.8500
122,97.7900
123,97.8500
124,97.8700
125,97.9700
126,97.8900
127,97.6900
128,97.6200
129,97.9700
130,97.9500
131,98.0400
132,97.9400
133,97.8900
134,98.0400
135,97.9500
136,97.9400
137,97.9300
138,98.0500
139,97.9200
140,97.7200
141,97.6100
142,97.8400
143,98.0000
144,97.9500
145,97.8500
146,97.8900
147,97.5900
148,97.5100
149,97.9200
150,97.9400
151,97.9800
152,97.9900
153,98.0700
154,97.9800
155,97.9300
156,97.8300
157,97.9300
158,97.9700
159,97.8800
160,97.7100
161,97.7300
162,97.7200
163,98.0000
164,97.8400
165,98.0500
166,97.6200
167,97.7200
168,97.8000
169,97.8400
170,97.9100
171,97.9000
172,97.8900
173,97.9200
174,97.7600
175,97.9400
176,97.8400
177,98.0300
178,97.9100
179,97.9900
180,97.9600
181,97.9900
182,98.0000
183,97.9600
184,97.9700
185,97.9200
186,97.9200
187,97.8800
188,97.9300
189,98.0700
190,98.0300
191,97.9700
192,98.0600
193,98.1300
194,97.9000
195,98.0100
196,98.0100
197,97.9700
198,97.9300
199,97.9000
200,98.1500
201,97.9600
202,97.9500
203,97.9300
204,97.9900
205,98.0800
206,97.9500
207,97.9500
208,98.0800
209,97.9900
210,97.9100
211,97.8800
212,98.0300
213,98.0000
214,97.9900
215,98.1100
216,98.0300
217,97.9800
218,97.9300
219,97.8800
220,97.9000
221,97.8600
222,97.8100
223,97.9000
224,97.9800
225,97.9500
226,97.9700
227,97.9900
228,97.8100
229,97.9100
230,97.8100
231,97.8400
232,98.0000
233,97.9700
234,98.0000
235,97.8400
236,97.8400
237,97.8300
238,97.8700
239,98.1100
240,97.9000
241,97.9400
242,98.0400
243,97.9300
244,97.8200
245,98.1500
246,98.0800
247,97.9700
248,97.8200
249,98.0000
250,97.9900
